,,,,,,,,,,,,
Theme,Subtheme,Set #,Set Name,Age,Piece Count,Retirement Date,LEGO.com Link,,,,,"Notes: (Exclusivity, release, etc.)"
Creator,3-in-1,31157,Exotic Peacock,7+,355,"Jul 31, 2026",US,CA,UK,AU,MX,"(US, CA) Exclusive to Walmart | (DE) Müller | (UK) Asda"
Creator,3-in-1,31160,Racing Aircraft,7+,178,"Jul 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31162,Bunny,8+,326,"Jul 31, 2026",US,CA,UK,AU,MX,
Creator,"Space, 3-in-1",31164,Space Robots,8+,281,"Jul 31, 2026",US,CA,UK,AU,MX,
Creator,Botanical Collection,40647,Lotus Flowers,8+,220,"Jul 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,Holiday,30692,Christmas Chimney Fun with Santa (Polybag),,,"Dec 31, 2026",n/a,n/a,n/a,n/a,n/a,
Creator,3-in-1,30714,Orange Cat (Polybag),6+,79,"Dec 31, 2026",n/a,n/a,n/a,n/a,n/a,
Creator,-,30715,Cute Animal Birthday Party (Polybag),6+,64,"Dec 31, 2026",n/a,n/a,n/a,n/a,n/a,
Creator,Holiday,30716,Cute Easter Bunny (Polybag),6+,66,"Dec 31, 2026",n/a,n/a,n/a,n/a,n/a,
Creator,3-in-1,31136,Exotic Parrot,7+,253,"Dec 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31148,Retro Roller Skate,8+,342,"Dec 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31169,Typewriter with Flowers,8+,363,"Dec 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31171,Majestic Rhino,9+,780,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to TBA
Creator,3-in-1,31172,Record Player with Flowers,8+,366,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Target
Creator,3-in-1,31174,Retro Telephone,8+,383,"Dec 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31175,Unicorn Castle,8+,390,"Dec 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31378,Space Exploration Telescope,8+,278,"Dec 31, 2026",US,CA,UK,AU,MX,
Creator,- ,40468,Yellow Taxi,7+,124,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,3-in-1,31134,Space Shuttle,6+,144,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31140,Magical Unicorn,7+,145,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31146,Flatbed Truck with Helicopter,7+,270,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31147,Retro Camera,8+,261,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31161,Green Dragon,9+,715,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31166,Beautiful Horse,,,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31170,Wild Animals - Pink Flamingo,8+,288,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31173,Tropical Toucan,7+,225,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31385,Beautiful Dolphins,9+,542,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31159,Wild Animals - Surprise Spider,7+,153,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31163,Grey Cat,8+,407,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31167,Haunted Mansion,,,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31376,Cute Hamster with a Flower,7+,166,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31377,Turtle with a Water Lily,7+,124,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31379,Fierce Dinosaur,8+,283,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31380,Retro Gaming Console,8+,268,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31381,Fierce Shark with a Treasure Chest,8+,379,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31382,Playful Puppy,8+,336,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31384,Colourful Hummingbird,8+,312,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,- ,40518,High-Speed Train,7+,284,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,Postcard,40519,New York Postcard,9+,253,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,Postcard,40569,London Postcard,9+,277,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,Postcard,40713,Japan Postcard,9+,262,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,Postcard,40818,Italy Postcard,,,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,-,30717,Fun Halloween Skeleton (Polybag),,71,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,Holiday,30718,Cataclaws Snow Adventure (Polybag),,70,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31383,Floral Perfume Bottle,,286,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31386,Wild Animals: Majestic Lion,,839,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31387,Iconic Pirate Ship,,1074,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31388,Wild Animals: Family of Koalas,,1536,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31389,Iconic Ferris Wheel,,916,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31390,Floral Art Painting,,348,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31391,Fashion Bag with Storage,,272,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31392,Music Decor Piano with Cat,,485,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31393,Forest Animals: Grey Wolf,,657,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31165,Wild Animals - Panda Family,8+,626,"Dec 31, 2028",US,CA,UK,AU,MX,
Creator,3-in-1,31168,Medieval Horse Knight Castle,,,"Dec 31, 2028",US,CA,UK,AU,MX,
Creator,- ,40953,London Bus,7+,58,"Dec 31, 2028",US,CA,UK,AU,MX,
Creator,Postcard,40954,Germany Postcard,9+,240,"Dec 31, 2028",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
DC,Batman,76328,Batman: The Classic TV Series Batmobile,18+,1822,"Jul 31, 2026",US,CA,UK,AU,MX,
DC,Batman,30726,Batman: Bruce Wayne and the Batsuit (Polybag),7+,35,"Dec 31, 2026",n/a,n/a,n/a,n/a,n/a,
DC,Batman,76303,Batman Tumbler vs. Two-Face & The Joker,8+,429,"Dec 31, 2026",US,CA,UK,AU,MX,
DC,Batman,76304,Batman Forever Batmobile,,,"Dec 31, 2026",US,CA,UK,AU,MX,
DC,Modular Building,76300,Arkham Asylum,18+,2953,"Jul 31, 2027",US,CA,UK,AU,MX,
DC,Batman,76333,Batman & Robin Batmobile,9+,272,"Jul 31, 2027",US,CA,UK,AU,MX,
DC,Logo,76330,Batman Logo,12+,678,"Dec 31, 2027",US,CA,UK,AU,MX,
DC,Batman,76331,Batman v Superman™ Batmobile,9+,220,"Dec 31, 2027",US,CA,UK,AU,MX,
DC,Batman,76332,The Batman Batmobile,9+,330,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43243,Simba The Lion King Cub,6+,222,"Jul 31, 2026",US,CA,UK,AU,MX,
